,0,1,2,3,4,5,6,7,8
0,ClCC(Cl)(Cl)Cl,-2.18,165.891060784,2.5954000000000006,0.0,0.0,0.0,0.0,0.0
1,CC(Cl)(Cl)Cl,-2.0,131.930033136,2.376500000000001,0.0,0.0,0.0,0.0,0.0
2,ClC(Cl)C(Cl)Cl,-1.74,165.891060784,2.5938,0.0,0.0,0.0,1.0,0.0
3,ClCC(Cl)Cl,-1.48,131.930033136,2.0289,0.0,0.0,0.0,1.0,0.0
4,FC(F)(Cl)C(F)(Cl)Cl,-3.04,185.9017677,2.9189,0.0,0.0,0.0,1.0,0.0
5,CC(Cl)Cl,-1.29,97.969005488,1.81,0.0,0.0,0.0,0.0,0.0
6,ClC(=C)Cl,-1.64,95.953355424,1.9352,0.0,0.0,0.0,0.0,0.0
7,CCOC(C)OCC,-0.43,118.099379688,1.4054,18.46,0.0,2.0,4.0,0.0
8,Clc1ccc(Cl)c(Cl)c1Cl,-4.57,213.891060784,4.3002,0.0,0.0,0.0,0.0,0.6
9,C1CCc2ccccc2C1,-4.37,132.093900384,2.5654000000000003,0.0,0.0,0.0,0.0,0.6
10,Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,213.891060784,4.3002,0.0,0.0,0.0,0.0,0.6
11,Clc1cccc(Cl)c1Cl,-4.0,179.930033136,3.6468000000000007,0.0,0.0,0.0,0.0,0.6666666666666666
12,Cc1cccc(C)c1C,-3.2,120.093900384,2.611860000000001,0.0,0.0,0.0,0.0,0.6666666666666666
13,Brc1cc(Br)c(Br)cc1Br,-6.98,389.688998464,4.7366,0.0,0.0,0.0,0.0,0.6
14,Clc1cc(Cl)c(Cl)cc1Cl,-5.56,213.891060784,4.3002,0.0,0.0,0.0,0.0,0.6
15,Cc1cc(C)c(C)cc1C,-4.59,134.109550448,2.9202800000000018,0.0,0.0,0.0,0.0,0.6
16,c1(Br)c(Br)cc(Br)cc1,-4.5,311.778486396,3.974100000000001,0.0,0.0,0.0,0.0,0.6666666666666666
17,Clc1ccc(Cl)c(Cl)c1,-3.59,179.930033136,3.6468000000000007,0.0,0.0,0.0,0.0,0.6666666666666666
18,Cc1ccc(C)c(C)c1,-3.31,120.093900384,2.611860000000001,0.0,0.0,0.0,0.0,0.6666666666666666
19,Oc1ccccc1O,0.62,110.036779432,1.0977999999999999,40.46,2.0,2.0,0.0,0.75
20,Brc1ccccc1Br,-3.5,233.867974328,3.2116000000000007,0.0,0.0,0.0,0.0,0.75
21,BrCCBr,-1.68,185.867974328,1.7762,0.0,0.0,0.0,1.0,0.0
22,Clc1ccccc1Cl,-3.05,145.969005488,2.9934000000000003,0.0,0.0,0.0,0.0,0.75
23,ClCCCl,-1.06,97.969005488,1.464,0.0,0.0,0.0,1.0,0.0
24,CC(Cl)CCl,-1.6,111.98465555199999,1.8525,0.0,0.0,0.0,1.0,0.0
25,FC(F)(Cl)C(F)(F)Cl,-2.74,169.93131824,2.6495999999999995,0.0,0.0,0.0,1.0,0.0
26,CCOCCOCC,-0.77,118.099379688,1.0594000000000001,18.46,0.0,2.0,5.0,0.0
27,CCc1ccccc1CC,-3.28,134.109550448,2.811400000000001,0.0,0.0,0.0,2.0,0.6
28,O=N(=O)c1ccccc1N(=O)=O,-3.1,168.017106608,1.503,86.28,0.0,4.0,2.0,0.5
29,CC1CO1,-0.59,58.041864812,0.4051,12.53,0.0,1.0,0.0,0.0
30,Brc1cc(Br)cc(Br)c1,-5.6,311.778486396,3.974100000000001,0.0,0.0,0.0,0.0,0.6666666666666666
31,Clc1cc(Cl)cc(Cl)c1,-4.48,179.930033136,3.6468000000000007,0.0,0.0,0.0,0.0,0.6666666666666666
32,Cc1cc(C)cc(C)c1,-3.4,120.093900384,2.611860000000001,0.0,0.0,0.0,0.0,0.6666666666666666
33,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,-2.89,213.002184816,1.4112,129.42000000000002,0.0,6.0,3.0,0.4
34,Oc1cccc(O)c1,0.81,110.036779432,1.0977999999999999,40.46,2.0,2.0,0.0,0.75
35,C=CC=C,-1.87,54.046950192,1.3584,0.0,0.0,0.0,1.0,0.0
36,Brc1cccc(Br)c1,-3.54,233.867974328,3.2116000000000007,0.0,0.0,0.0,0.0,0.75
37,Clc1cccc(Cl)c1,-3.04,145.969005488,2.993400000000001,0.0,0.0,0.0,0.0,0.75
38,ClCCCCl,-1.62,111.98465555199999,1.8540999999999999,0.0,0.0,0.0,2.0,0.0
39,CCNC(=S)NCC,-1.46,132.072119384,0.49030000000000007,24.06,2.0,1.0,2.0,0.0
40,Fc1cccc(F)c1,-2.0,114.028106568,1.9648,0.0,0.0,0.0,0.0,0.75
41,Cc1cc(C)c2ccccc2c1,-4.29,156.093900384,3.456640000000002,0.0,0.0,0.0,0.0,0.8333333333333334
42,O=N(=O)c1cccc(c1)N(=O)=O,-2.29,168.017106608,1.503,86.28,0.0,4.0,2.0,0.5
43,Oc1ccc(O)cc1,-0.17,110.036779432,1.0977999999999999,40.46,2.0,2.0,0.0,0.75
44,C1C=CCC=C1,-2.06,80.062600256,1.8926,0.0,0.0,0.0,0.0,0.0
45,Brc1ccc(Br)cc1,-4.07,233.867974328,3.2116000000000007,0.0,0.0,0.0,0.0,0.75
